id,registery,type,name,email,password,entry_time,departure_time,is_activated
1,1001,administrador,"Admin Geral","admin.geral@baymetrics.com.br","B3A8F2E1C9D0A5G6H7J8K9L0M1N2O3P4Q5R6S7T8U9V0W1X2Y3Z4A5B6C7D8E9F0","08:00:00","18:00:00",true
2,2010,técnico,"João da Silva","joao.silva@gmail.com","A1B2C3D4E5F6G7H8I9J0K1L2M3N4O5P6Q7R8S9T0U1V2W3X4Y5Z6A7B8C9D0E1F2","07:30:00","17:30:00",true
3,2011,professor,"Maria Oliveira","maria.oliveira@outlook.com","F0E1D2C3B4A5968778695A4B3C2D1E0F1G2H3I4J5K6L7M8N9O0P1Q2R3S4T5U6V","13:00:00","22:00:00",false
4,2012,aluno,"Pedro Souza","pedro.souza@gmail.com","9A8B7C6D5E4F3G2H1I0J9K8L7M6N5O4P3Q2R1S0T9U8V7W6X5Y4Z3A2B1C0D9E8F","08:15:00","12:15:00",false
5,2013,técnico,"Ana Costa","ana.costa@baymetrics.com.br","4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9C0D1E2F3G4H5I","12:00:00","21:00:00",true
6,2014,professor,"Carlos Pereira","carlos.pereira@outlook.com","C1D2E3F4G5H6I7J8K9L0M1N2O3P4Q5R6S7T8U9V0W1X2Y3Z4A5B6C7D8E9F0G1H2","07:45:00","17:45:00",true
7,2015,aluno,"Beatriz Lima","beatriz.lima@gmail.com","2B3C4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9C0D1E2F3G","18:00:00","22:30:00",false
8,2016,aluno,"Lucas Martins","lucas.martins@gmail.com","7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9C0D1E2F3G4H5I6J7K8L","18:10:00","22:40:00",true
9,2017,professor,"Fernanda Almeida","fernanda.almeida@outlook.com","6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9C0D1E2F3G4H5I6J7K","13:30:00","22:15:00",true
10,2018,técnico,"Ricardo Santos","ricardo.santos@baymetrics.com.br","5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9C0D1E2F3G4H5I6J","08:00:00","17:00:00",true
